Time,Name/Nickname,Gender,Age,Maximum rating in Dota,Current Dota rating,Number of Hours ingame (atleast approximate),How many games do you play per week on average?,My mood worsens if I don't play Dota 2 for a long time,I spend almost all my free time on Dota 2,I often play more than I need to because I can't stop (register a new game),"When I play Dota, I'm completely focused on it (I don't play ""for fun"")",Every week/month I spend more time in Dota than before,"I often regist the next game despite discomfort (I can play hungry, sleepy, not feeling well, etc.)",I don't tell family/friends about the number of hours I spend in Dota,Dota lets me forget about stress and life problems irl,"Due to the number of hours spent in the game, I study / work / perform other tasks worse",Every game in DotA I play to win.,"I often play DotA pho fan - I'm interested in the process of the game itself (I try different builds, new heroes, bundles, etc.)","If my teammates frankly ruin the game, I can ruin them in response",I can pour out of the game / get into the amulet if something goes wrong,I have a specific goal - to upgrade the birds (for example: get 6k mmr or a medal of the lord / devine / titan),I play dota to win,"In DotA, too much depends not on me and my game","If I lose, then this is most often due to the bad game of teammates","If I had a strong team in every game, I would almost never lose",My possible pts is much bigger than my actual one,I have been sitting on the same rating for a long time without any visible progress,I often lose my desire to play when my teammates play badly,"MMR is just a number, it does not show the player's real skill","Write down the three heroes that you have played the most games on, the number and win rate on these heroes (for example: Pudge, 152 games, 56%):"
2021/11/08 1:22:40 PM GMT+3,R1dex,?,17,"700 ???,  ?????? 5 ","?????? 4, 500 ??? ",1200,6-10 ??? (???? ???? ? ?????? ?????????-????),1,4,3,5,1,5,1,3,2,4,1,1,1,5,3,5,2,3,5,4,2,2,???? 80 ??? 66% ?? ??? ?? 20-30 ??? 77% ????? 
2021/11/08 1:22:41 PM GMT+3,Uba-GUB,?,31,1700,1280,3000,1-5 ??? (?? ???????? ????? ???? ?????),2,2,1,4,1,1,3,3,4,5,3,1,1,3,5,3,2,4,1,4,3,3,"Viper - 339 ???, 56.34%; Storm Spirit, 167 ???, 54, 76%; Jakiro, 56 ???, 50%."
2021/11/08 1:22:46 PM GMT+3,AIDONEUS,?,21,3800,2900,9000,?????? 30 ??? (?? ????? ???????? ?????? ????),3,5,3,4,1,2,3,5,3,5,2,2,1,4,5,2,1,1,4,4,1,1,"??? 243 ????,54 %
?????? 209 ???, 44%
??????? 113 ???, 53%"
2021/11/08 1:22:48 PM GMT+3,????,?,19,4110,3780,5-6?,6-10 ??? (???? ???? ? ?????? ?????????-????),2,1,3,5,2,5,3,5,3,5,2,3,2,4,5,4,3,3,4,4,5,2,"?????? 80 ??? 70% ??, ???????? 150+ ??? 66~% ????????, ????(????? ?? ??????, ?? ?? ??????)95 ??? 61% ??. ????? ????? ? ?????? ? ??????."
2021/11/08 1:22:48 PM GMT+3,"Ah shit, here we go again",?,23,?? ????????????,-,"996,5",1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,2,1,3,1,2,1,4,4,1,1,1,3,3,3,3,1,5,4,2,"????????, 62 ?????, 53.23%; ??, 49 ??????, 57.14%; ??, 43 ?????, 53.49%"
2021/11/08 1:23:17 PM GMT+3,<3,?,21,3500,3400,2000,1-5 ??? (?? ???????? ????? ???? ?????),1,2,1,4,1,1,1,2,1,4,2,2,2,2,4,2,2,4,3,2,3,2,"????????? - 166 ??? - 49% (?? ????????? ????? -6 ??????? 50 ???- ????? 65%);
?????? - 137 ??? - 53%;
?? - 92 ???? - 57%;
? ???? ???????? ?????, ?? ??? ??????????? ??????????? ??? ??????? ?????? ?? ?? ?????? ?????. ????? ?????????? ????? (2? ?????) ? 2014 ????."
2021/11/08 1:23:19 PM GMT+3,vpr,?,23,2300,1490,5-6???,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,2,5,1,1,1,3,1,4,2,1,1,4,5,4,4,5,4,3,2,4,"??????? ???-?? ??? ??????? ? ?????, ?? ????? ?? ??? ? ??????????, ??????? ? ???? ????? ??????? ???-?? ??? ??????? ?? ???? (?? ??????? ? ????? ? 2014) 111 ??? ???? ? ???? ?????? 6? ?????? "
2021/11/08 1:23:20 PM GMT+3,????,?,20,4360,4200,3500,20-30 ??? (?????? ???? ?? ????????? ???),2,2,1,4,2,1,5,4,1,4,2,2,3,4,4,1,2,3,3,1,4,1,"??? ??????(323, 69%) ?????? (218, 54%) ????????? (160, 61%)"
2021/11/08 1:23:25 PM GMT+3,4444,?,21,1500,1400,<3?,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,4,5,5,3,2,5,3,5,2,1,2,5,5,1,4,5,5,5,4,4,"?????, 421 ????, 57%, ??, 84 ????, 62%, ????,  60 ???, 65%."
2021/11/08 1:23:29 PM GMT+3,AIE,?,15,2700,2300,2700,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,1,2,1,3,2,4,1,2,4,1,1,3,4,2,3,3,3,2,3,4,"????,401 ????, 50.6%,?????, 346 ???, 56.4%, ??, 152 ????, 53.9%."
2021/11/08 1:23:37 PM GMT+3,?????,?,18,3600,3600,3200,20-30 ??? (?????? ???? ?? ????????? ???),2,2,1,4,1,1,1,3,3,4,2,1,1,5,4,2,2,3,4,1,2,2,"??? ??????, 600 ???, 66%;   ??, 150 ???, 57%;    ?????, 24 ????, 60%."
2021/11/08 1:23:42 PM GMT+3,??  ?? ?????,?,19,2300,2120,1600,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,3,3,1,4,5,3,3,3,2,1,1,1,5,4,3,1,3,2,4,4,"?????:440 ??? 53.7%, ??:50 ??? 58%, ????:45 ??? 60%"
2021/11/08 1:23:43 PM GMT+3,:D,?,15,2200,2200,1600,?????? 30 ??? (?? ????? ???????? ?????? ????),3,3,4,4,3,5,4,5,3,5,4,5,1,5,3,2,2,3,4,1,1,5,"Shadow Fiend

150
55.33%


Morphling

124
54.84%
3.08


Wraith King

121
65.29%"
2021/11/08 1:24:01 PM GMT+3,ALWAYSWANNACOCK,?,21,1800,??? ????????,4000 ? ?????? ?????????,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,2,3,2,3,5,1,1,3,4,4,4,1,2,2,3,1,3,1,4,3,"?? ????? ? ?????? ????
??????, 8 ???, 62,50%
??????, 6 ???, 50%
???, 6 ???, 50%"
2021/11/08 1:24:03 PM GMT+3,TSpirit.???????.???? ?????????,?,16,1500,1250,2000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,2,2,3,2,1,2,1,5,5,1,1,3,3,3,3,4,4,4,1,5,"Hoodwink, 110 ???, 62% ???????. Anti-mage, 40 ???, 53%. Pudge, 31 ????, 45%"
2021/11/08 1:24:03 PM GMT+3,Shuriss,?,18,3400,2960,2.5?,1-5 ??? (?? ???????? ????? ???? ?????),3,2,3,4,1,1,4,3,2,4,3,4,2,3,4,2,2,4,4,2,3,3,"??????, 146 ???, 68%; ?onkey King, 94 ????, 62%; ????????, 122 ????, 53%"
2021/11/08 1:24:25 PM GMT+3,3_14kass0,?,18,4700,4500,2000,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,1,1,1,5,3,1,3,5,1,1,1,1,1,1,1,5,5,5,5,"?????,700???,62%  ????, 360 ???, 54%, ????, 270 ???, 49%"
2021/11/08 1:24:32 PM GMT+3,By the way,?,22,"1,5k",600),~1000,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,1,1,4,3,2,5,5,1,5,3,1,1,5,5,1,2,3,5,3,1,3," ? ????? ??????, ? ??? ???? ??? ?????????? ?? 2016-17( ??? ????? ? ???????? ?????? ? ????, ? ????????? ??? ??????, ????? ? ??????? ? ??? ???????? 
1. Faceless Void 35 ??? 46%
2. ???? 31 ???? 45% 
3. ???????? 27 ??? 55%
? ?????????? ?? ????????? ??? ?????? 
1.???? 5 ??? 60%
2.??? ??? ?? ???????? ???? 4 50%
3. ?????? 4 ???? 0% ( ?? ????? ???-?? )
??? ??????? ??? ??? ????? ??????????? ? ????????? ????????? ? ?????, ? ?????? ????? ?? ??????? "
2021/11/08 1:24:33 PM GMT+3,?????? ?????,?,15,3000,2700,2?,?????? 30 ??? (?? ????? ???????? ?????? ????),5,4,4,5,5,3,3,5,5,5,2,4,2,5,5,4,3,4,4,5,5,3,"??? ,173 ???? , 52 %"
2021/11/08 1:24:39 PM GMT+3,Xccelerator,?,19,3600,3450,5000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,3,4,4,1,5,5,4,3,4,2,4,2,5,5,4,4,4,4,5,5,5,Meepo ~300 ~58% tb 200 52% am 150 55%
2021/11/08 1:24:51 PM GMT+3,Eleventh guard,?,22,1880,1380,1086,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,1,2,3,2,2,2,4,3,4,2,1,1,3,3,3,3,2,2,3,3,3,"?????? 40 ??? 62%
????? 67 ??? 68%
?????? 54 ??? 52%"
2021/11/08 1:24:56 PM GMT+3,DONETSKTAGANROG,?,21,1200,100,2000,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,1,4,2,4,2,5,1,5,1,1,1,5,5,2,2,2,4,5,2,5,"?????????? 81 ???? 53% ,???? 55 ??? 52% ,???????? 55 ??? 60%"
2021/11/08 1:25:00 PM GMT+3,ebashev,?,20,500,30,400,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,2,5,5,1,3,5,1,5,3,1,2,4,4,4,3,3,5,5,3,5,"Zeus (67 ???, 56%), Silencer (47 ???, 28%) Lycan (39 ???, 46%)"
2021/11/08 1:25:04 PM GMT+3,relax,?,38,2000,1000,4000,1-5 ??? (?? ???????? ????? ???? ?????),1,2,1,3,1,2,5,4,2,5,2,2,1,3,5,3,3,4,5,3,2,4,"??  1000 - 53, ?????? 400 - 52"
2021/11/08 1:25:18 PM GMT+3,Vergilmotivated,?,16,1200,820,1568,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,1,2,3,4,2,2,4,2,5,4,2,1,5,5,2,3,4,3,4,5,4,"Viper , 91 ???? ,48.35% Juggernaut , 89 ??? , 53.93% , Hoodwink , 38 ??? , 71.05%"
2021/11/08 1:25:23 PM GMT+3,????,?,22,2000,1200,400,6-10 ??? (???? ???? ? ?????? ?????????-????),1,3,3,4,2,2,1,2,1,4,3,2,1,2,3,1,3,2,1,5,5,3,"?????? 123 ????, 65%. ???????????? 40 ???, 58 %. ?????? 110 ??? 63%"
2021/11/08 1:25:24 PM GMT+3,????228,?,16,2250,2250,2448,20-30 ??? (?????? ???? ?? ????????? ???),2,3,1,5,3,3,4,5,5,5,1,1,1,5,5,1,1,2,2,1,3,3,"??????, 681, 52%, ?????? 162, 51%, ???????, 125, 51%."
2021/11/08 1:25:26 PM GMT+3,DameTime0,?,17,200???,10 ??? ,600,11-20 ??? (????? ?????? ???? ?? ????????? ???),5,4,5,5,1,2,1,1,5,5,1,1,1,5,5,1,1,1,5,5,1,5,"??????? 194 (42???) ,??????? (42 ????), ????????? 40 (????)"
2021/11/08 1:25:26 PM GMT+3,Dron,?,14,-,-,-,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,3,3,2,3,2,2,3,4,1,2,2,5,5,1,1,5,4,3,3,1,"????? ?????  \97 ???, 76%(??????? ?? ??? ?? ???????, ???? ???? ???? ?????????? ??????? ???????). Slader 45 49%. invoker 56 ??? 39%( ????? ?? ????????, ?????? ???????? ??? ????????)"
2021/11/08 1:25:30 PM GMT+3,mamy3641,?,20,2800,2550,5484,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,4,4,1,2,1,1,1,4,2,1,1,2,4,1,2,2,3,2,2,2,"Wraith King
215
% ?????
60.47%

Night Stalker
171
56.14%

Kunkka
136
61.03%"
2021/11/08 1:25:33 PM GMT+3,egroplay,?,16,800,800,1000,20-30 ??? (?????? ???? ?? ????????? ???),5,3,3,2,2,1,1,5,4,3,5,1,1,1,1,5,2,1,5,3,1,5,"Lion, 30 ???, 53,33%    Ogre Magi, 29 ???, 44%,    Puck,22 ????, 45%"
2021/11/08 1:25:35 PM GMT+3,?? ??,?,14,2010,1300,1400,20-30 ??? (?????? ???? ?? ????????? ???),1,4,3,3,1,4,1,1,3,5,3,2,1,5,4,3,2,3,4,2,3,1,"????, 104 ????, 52% ???????, 84 ????, 68% ???, 76 ???, 59%"
2021/11/08 1:25:37 PM GMT+3,??????,?,16,2000,2000,600,6-10 ??? (???? ???? ? ?????? ?????????-????),5,1,5,5,1,1,5,5,1,1,5,1,1,5,5,5,1,5,1,1,1,1,"??, 55 ???, 38,2%. ????????, 25 ???, 52%. ????????, 25 ???, 48%."
2021/11/08 1:25:39 PM GMT+3,???? ?????,?,23,1200,600,2300,1-5 ??? (?? ???????? ????? ???? ?????),1,2,3,3,1,2,4,4,1,5,5,1,1,4,3,3,2,4,3,4,2,4,"????? 101 ???? 59.4%, ???? 92 ???? 73.9%, ?????????? 47 ??? 59.6%."
2021/11/08 1:25:44 PM GMT+3, ????????,?,23,4200,3500,45? ????? ?????? ? ?????? ????? ,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,5,3,2,5,3,5,1,3,3,5,2,2,3,3,3,3,3,3,3,3,"?????? 2545 ???, 50.45%;????? 2376 ???, 49.87%; ????? 1576 ???, 50.85%"
2021/11/08 1:25:50 PM GMT+3,???,?,14,990,840,1000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,2,2,3,3,2,1,1,1,3,3,1,1,4,1,1,1,3,4,1,1,4,"??????, 36 ???, 72%, ???????, 19 ???, 63%, ??????????, 19 ???, 58%."
2021/11/08 1:26:01 PM GMT+3,KonKu,?,19,3100,2960,2700,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,3,5,2,1,1,1,5,5,1,5,1,1,1,1,3,2,5,1,3,5,2,"??????, 660 ???, 55.9%, ???????, 108 ???, 50%, ????, 73 ???? 49.3%"
2021/11/08 1:26:02 PM GMT+3,???????,?,21,1000,?????????? ,700,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,3,2,4,5,1,2,5,3,1,2,1,3,3,1,4,3,3,1,3,"???? 50 ??? 53% , ??????????? 35 ??? 55%, WK 122 ???? 48%"
2021/11/08 1:26:06 PM GMT+3,?????,?,20,3500,3000,4000,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,5,1,3,3,5,1,5,3,1,1,1,5,1,1,1,5,5,1,1,"?????????, 94????, 52%
????, 87 ???, 60%
?????????, 73 ????, 65%"
2021/11/08 1:26:12 PM GMT+3,?????,?,15,2000,1940,3?,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,4,5,3,4,1,3,5,4,1,3,2,5,5,2,2,4,4,2,5,3,"?????? 70 ???? 150?????, ??????? 200+ ????? 55.6???? ? ???? 100+????? ? 76.5 ???? ???????"
2021/11/08 1:26:21 PM GMT+3,TInnavian,?,17,2500,1700,1450,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,2,5,2,3,2,4,2,4,3,1,1,4,4,3,4,4,5,3,3,3,"Arc Warden  240 ??? ? 64% . ????(??? ????) 68 ??? 50%, ????? (??? ?? ?????) 55 ???, 47%"
2021/11/08 1:26:23 PM GMT+3,Rubick,?,20,1800,1800,2500,6-10 ??? (???? ???? ? ?????? ?????????-????),1,3,2,3,1,2,2,3,3,4,2,1,1,1,4,3,3,2,2,3,4,3,"SHADOW SHAMAN, 286 ????, 53%
LION, 232 ????, 57%
PHANTOM ASSASSIN, 169 ????, 55%"
2021/11/08 1:26:29 PM GMT+3,QFP,?,17,1130,1070,600,1-5 ??? (?? ???????? ????? ???? ?????),1,1,2,3,1,2,5,2,1,5,4,5,1,3,5,4,3,3,4,2,4,3,"?????? 116 ??? 50%
????? 60 ??? 60% ???????
???? 55 ??? 53% ???????"
2021/11/08 1:26:40 PM GMT+3,imsamit,?,15,340,280,626,20-30 ??? (?????? ???? ?? ????????? ???),3,2,1,3,2,2,2,2,2,3,4,3,3,2,4,3,4,5,4,5,4,5,?????? 37 59%. ?? 36 50%. ?? 34 52%
2021/11/08 1:26:41 PM GMT+3,??????? ??????,?,20,4200,3800,4000,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,1,1,5,1,5,1,5,1,5,2,1,1,5,5,1,2,2,3,3,1,3,"Visage, 1200 ???, 66%; Ember, 291 ????, 49,5%; BH, 249 ???, 50.2%."
2021/11/08 1:26:43 PM GMT+3,Silverger,?,18,5?(?????? 3),+-5?,6?,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,2,3,1,2,3,3,3,4,2,3,1,3,5,4,3,3,4,5,4,3,"Winter Wyvern: (????824, ???????59.83%)
Phoenix: (????269, ???????54.65%)
Puck: (????90, ???????50%)"
2021/11/08 1:26:46 PM GMT+3,??????? ?????,?,20,3230,3010,6450,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,1,1,1,1,5,3,5,4,2,1,1,1,3,5,5,5,5,4,5,5,??????? 200 55% ???? 200 45% ?? 200 63%
2021/11/08 1:26:47 PM GMT+3,????????? ??????,?,15,2800,"2800, ?????? ???? ???? ??? ?????? ? ??????, ?? ?????? ? ??????????, ????????? ? ??????? ? ???? ???? ???? ???, ????? ? ????? ?? ????????",1750 ?????,20-30 ??? (?????? ???? ?? ????????? ???),3,4,2,4,1,5,5,5,5,4,1,1,1,5,5,2,2,3,5,1,1,5,"??????, 335 ???, 60% ???????? (?? ????????? 70 ??? ??????? 80%) (????? ??? ?? ???? ??? ? ?? ????????, ????? ???? ???? ???? ? ????? ??? ???, ??? ?? ???? ???????? ??? ???? ??? ???? ?????, ???? ?? ??????)
???????, ????? 90 ???, 70% ????????
???????,  70 ???, 67% ????????"
2021/11/08 1:26:49 PM GMT+3,crmznqq,?,18,3600,3400,2000+,20-30 ??? (?????? ???? ?? ????????? ???),1,4,5,3,2,5,5,4,5,1,5,4,3,1,4,3,1,3,2,5,3,5,mk - 200 60% sf-150 51% dw-90 65%
2021/11/08 1:26:52 PM GMT+3,begemot ,?,31,810,770,1309,20-30 ??? (?????? ???? ?? ????????? ???),2,1,1,4,1,1,1,3,2,5,3,1,1,2,3,3,2,3,2,1,1,1,"?????? 179 ??? 59,8%.  ????? 178 ???? 45,5%.  ??????? 103 ???? 46,6%"
2021/11/08 1:27:05 PM GMT+3,Ih8u,?,26,4300,4130,??? 10,?????? 30 ??? (?? ????? ???????? ?????? ????),3,4,4,4,2,1,5,4,2,5,2,1,1,2,4,2,2,3,2,2,4,3,?? ???? 
2021/11/08 1:27:12 PM GMT+3,??????,?,21,2000,2000,5000,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,3,4,4,3,3,5,5,5,5,5,5,5,3,5,1,3,5,5,5,5,3,"?????, ?? ???????, 53%"
2021/11/08 1:27:13 PM GMT+3,?????,?,17,3900,0,5000,?????? 30 ??? (?? ????? ???????? ?????? ????),5,1,2,2,5,5,1,5,5,3,5,2,1,1,2,3,2,5,3,3,5,5,"???, 200 ????, 61%. ??? 500 ??? 70%. ??????? 1000+ ??? 57%"
2021/11/08 1:27:21 PM GMT+3,999-6?,?,18,2100,1750,2500,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,4,3,2,4,2,3,2,4,3,4,2,2,4,2,3,4,3,4,4,3,"???, 94, 60.6%; ?????, 78, 56.4%, ??????, 69, 39.1% (?????? ?????, ?? ???? 20 ??? ?? ??? ??=50%)"
2021/11/08 1:27:27 PM GMT+3,456,?,24,4900,4300,10000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,1,5,1,1,5,3,2,5,1,5,5,2,4,1,1,2,2,3,3,3,"??????? ,1000 ???,55%;    ??, 700 ???, 54%;     ????? ,400 ???, 58%"
2021/11/08 1:27:36 PM GMT+3,Chychel,?,17,1500,1000,1400,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,3,5,4,4,5,3,1,5,1,5,4,4,5,1,2,4,5,2,4,1,???? 70 ??? 60% ??? 200 ??? 58% ????? ???? 134 ???? 55%
2021/11/08 1:27:44 PM GMT+3,N',?,16,1000 mmr,700 mmr,1100,?????? 30 ??? (?? ????? ???????? ?????? ????),2,3,5,1,1,1,1,5,1,3,5,1,1,1,2,1,1,5,5,5,1,5,"?????,60 ???,55% ????, 40 ???, 60% ??????????, 40 ???, 55%"
2021/11/08 1:27:48 PM GMT+3,kellast,?,18,3000,2000,8000,20-30 ??? (?????? ???? ?? ????????? ???),1,2,1,3,1,1,1,4,2,4,3,1,1,3,4,3,3,5,3,2,2,3,"?????, 140 ???, 72%; ??????, 71 ????, 56%; ??????, 60 ???, 60% "
2021/11/08 1:27:49 PM GMT+3,????,?,21,3050,2970,1600,6-10 ??? (???? ???? ? ?????? ?????????-????),2,1,2,4,1,2,3,3,4,4,2,4,2,2,5,3,3,4,4,2,4,4,"Witch doctor, 72 ????, 54%; Lich, 64 ????, 57%; Crystal maiden, 25 ???, 24%"
2021/11/08 1:27:49 PM GMT+3,queztionwhite,?,21,3500,3100,4000,6-10 ??? (???? ???? ? ?????? ?????????-????),2,1,2,2,1,1,3,2,2,3,2,1,1,1,3,3,3,2,3,2,2,3,"??????, 458 ???, 63% 
??????, 150 ???, 68%
?????????, 61 ????, 65%"
2021/11/08 1:27:50 PM GMT+3,kneewe,?,16,3000,2900,2000,20-30 ??? (?????? ???? ?? ????????? ???),2,1,1,5,1,3,2,3,3,5,2,2,1,5,5,3,2,4,4,3,5,2,????? 326 56% ?? 108 53% ???? 73 62%
2021/11/08 1:28:04 PM GMT+3,Oldkumo,?,16,0,0,"2,5 ???",6-10 ??? (???? ???? ? ?????? ?????????-????),1,3,5,4,3,5,5,3,4,5,2,3,4,1,5,3,4,3,2,5,5,5,"????? ????? ?? ?????, ?? ??, ?????, ???????? ????? ??? ??????????"
2021/11/08 1:28:04 PM GMT+3,RadLi,?,17,1180,1100,350,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,3,4,3,2,2,4,3,4,2,3,2,5,4,4,3,4,3,1,3,2,"(????? ?????, 95 ????,  53%), (??? ??? 48 ????, 45%), (????, 43 ????, 69%). ?? ??? ?? ????? ?? ????? ?????? ? ???? , ????? ?? 5 ?? ????? ? ?????????? (????????? 43 ????, 62%)"
2021/11/08 1:28:09 PM GMT+3,kurapika,?,19,3800,3700,4000,20-30 ??? (?????? ???? ?? ????????? ???),2,5,4,4,3,5,1,4,3,2,5,4,4,5,4,1,3,5,1,2,5,5,"???????, 532 ????, 51%; ??, 290 ???, 54%; ??????, 230 ???, 56,5%"
2021/11/08 1:28:11 PM GMT+3,?????????,?,21,?? ????? ?? ???,??????????? ,1000,6-10 ??? (???? ???? ? ?????? ?????????-????),2,1,2,2,1,1,1,2,1,2,3,1,1,1,2,3,3,3,3,1,4,4,"??????, 60 ???, 56%, ???? 100 ???, 51%, ????? 148 ???, 61%"
2021/11/08 1:28:13 PM GMT+3,???? ?????? ????? ????,?,19,3000,2200 (??????? ???? ??? ??????),2290,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,2,4,1,4,2,5,2,5,3,3,2,4,4,3,4,5,5,4,4,5,???? 162 ??? 67% ?????? 106 ??? 70% ????? 70 ??? 69%
2021/11/08 1:28:25 PM GMT+3,???????,?,17,900???,340???,"1,5?",20-30 ??? (?????? ???? ?? ????????? ???),2,2,2,4,5,4,1,4,2,4,3,1,1,5,5,5,3,3,4,2,4,3,"?????, 97 ???, 46% (??????????? ?????? ??????? ? ????????? ?????, ?????? ?????? ?? ?????????? ?????). ????))), 83 ????, 51%. ??, 72 ????, 49%(??????????, ??? ? ? ???????)."
2021/11/08 1:28:32 PM GMT+3,Nekolab,?,19,2220,2220,2572,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,2,2,2,1,4,4,2,4,4,3,5,2,2,5,3,3,5,5,5,4,5,"???, 175, 62%; ??? ???, 113, 50%; ????, 93, 52%."
2021/11/08 1:28:41 PM GMT+3,Zxcghoul578,?,14,1800,1800,1000,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,3,4,5,2,1,3,5,5,2,2,2,1,5,1,3,3,5,1,3,5,"??????,300,65%"
2021/11/08 1:28:55 PM GMT+3,?????????? ????,?,19,1500,1110,1600,1-5 ??? (?? ???????? ????? ???? ?????),1,2,5,3,1,4,3,2,4,4,5,1,1,2,3,3,3,4,4,4,4,4,"Pudge, 97 ????, 57.73%
Ogre Magi, 74 ????, 62.16%
Huskar, 55 ??? 54.55%"
2021/11/08 1:28:58 PM GMT+3,????????/ctiker34,?,14,2470,2260,4200,20-30 ??? (?????? ???? ?? ????????? ???),3,4,4,5,2,5,2,2,3,4,2,2,1,5,4,2,1,2,2,1,2,1,"????,83 ????,57,8%.????????,47 ???.57,4,????,45 ???, 60%"
2021/11/08 1:28:58 PM GMT+3,Itachi Uchiha,?,22,4600,2300,6000,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,3,4,3,1,1,1,3,3,4,3,1,1,4,4,3,4,4,5,5,2,3,"CM 496 ???, 60,5% ; WR 382 ????, 48,7% ; Lina 381 ????, 46,5%"
2021/11/08 1:29:02 PM GMT+3,NiktoNikem,?,17,1670,1670,1540,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,3,2,4,1,4,1,3,3,5,1,1,4,4,2,1,2,3,1,3,4,"??, 93 ????, 68%
????, 41 ????, 65% 
???????????,  27 ???, 70%"
2021/11/08 1:29:05 PM GMT+3,kypli4ek,?,14,1340,1310,1300,20-30 ??? (?????? ???? ?? ????????? ???),2,4,1,5,1,1,2,2,5,5,3,3,3,2,5,1,3,5,4,3,2,3,????? 143 60.84; ?????? 75 62.67; ????? 58 60.34
2021/11/08 1:29:14 PM GMT+3,Ladislao ,?,26,3000,1700,7000+,1-5 ??? (?? ???????? ????? ???? ?????),2,1,1,4,1,1,5,5,1,4,3,1,1,1,3,5,3,5,3,3,2,4,"Wraith King - 313, 60% . 
Ancient Apparition - 166, 64% .
Abaddon - 219, 63% ."
2021/11/08 1:29:15 PM GMT+3,zxcigan (??????) ,?,18,2830,2500,4200,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,3,4,4,3,2,3,1,4,2,2,1,4,4,3,2,1,4,2,2,1,"??????? 387 ??? 62% (? ???? ?????? ???? ??)), ???? 70 ??? 54%, ??????? 74 ???? 55.4%, ??? 45 ??? 68%"
2021/11/08 1:29:19 PM GMT+3,Grandmastertal7799,?,25,4000,3400,350,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,2,4,1,2,2,2,1,4,2,2,1,4,4,2,2,2,2,2,2,2,"Void spirit 140??? , 57 ???????, ?????? 60 ???, 60 ???????, ??????? 40 ???, 58 ??????? "
2021/11/08 1:29:20 PM GMT+3,OmEgAKoBaN_228,?,17,1900,1670,3000,"?????? 50 ??? (???? ???? ??? ILTW, ?????????? ?????? ???? ???-????)",1,3,5,2,3,1,1,3,1,3,5,1,1,1,3,3,1,2,4,1,2,4,"????, 219 ???, 53.88%; ??????, 91 ????, 56%; ??????, 88 ???, 53%. ??? ?????? ??????, ? ??? ????? ? ????? ??? ????"
2021/11/08 1:29:20 PM GMT+3,Ahegao Princess,?,18,230,100,333,?????? 30 ??? (?? ????? ???????? ?????? ????),1,4,3,4,1,2,1,3,1,4,1,1,1,1,4,5,3,5,1,5,2,2,"?????? ??? ??????? (WindRanger), 153 ???, 43,8%
????? (razor), 23 ????, 39,1%
???? (????????), 15 ???, 86,7%"
2021/11/08 1:29:26 PM GMT+3,???????,?,21,+-1500,1200,2800,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,3,1,1,1,4,1,4,2,2,1,2,4,3,3,3,2,2,4,2,"Legion Commander 379 (57.26%) 
Windranger 281 (51.25%)
Silencer 208 (53.37%)"
2021/11/08 1:29:29 PM GMT+3,dude,?,16,2 ?????,2 ?????,1000-7,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,1,4,2,1,3,4,4,4,3,1,1,3,5,1,1,4,3,4,3,2,"???????, 20 ???, 85%   ???, 27 ??? 48.1%   ??????, 24 ????, 72%"
